Obs,Date,Time,AnimalID,Action,Recipient,Response ,Actor2,Actor3,Recip2,Recip3,Context ,Erection,Intromission,Ejaculation ,Notes,Prox_10M_AF,Prox_10M_All,Thrust_Number,IOR
JC,02/04/2019,12:26:04,5P8,Aggression,5Q4,NA,,,,,NA,NA,NA,NA,Sneaks up and bites him gently on the bollocks while sleeping ,NA,NA,NA,0
JC,02/04/2019,12:29:12,5Q4,SelfStim,,NA,,,,,NA,NA,NA,Ejac,,NA,NA,NA,0
JC,02/04/2019,12:31:17,2V9,SelfStim,,NA,,,,,NA,NA,NA,NoEjac,,NA,NA,NA,0
JC,02/04/2019,12:36:17,7A2,Aggression,2V9,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,02/04/2019,12:46:30,4EE2,Submission,0M1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,02/04/2019,12:51:26,9EE3,SelfStim,,NA,,,,,R,Erection,NA,NoEjac,,3,8,NA,0
JC,02/04/2019,13:15:15,JVMUN,Mount,7Z8,NA,,,,,CoaggObs,2Erection,UN,NoEjac,,0,2,4,0
SE,02/04/2019,13:18:38,8J3,Mount,JVMUN,Grm,,,,,UN,UN,UN,NoEjac,JVMUN is AH3,5,12,7+,0
SE,02/04/2019,13:20:00,8J3,Mount,JVMUN,Grm,,,,,Grm,UN,UN,NoEjac,JVMUN is AH3,5,12,5,0
SE,02/04/2019,13:30:21,3U1,Submission,2N8,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,02/04/2019,13:32:53,2N8,Mount,4U6,NA,,,,,CoaggObs,UN,UN,NoEjac,JVMUN is AH3,1,7,2,0
SE,02/04/2019,13:42:31,4U6,Submission,0C7,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,02/04/2019,13:58:18,8R6,Mount,3U3,NA,,,,,UN,Erection,UN,NoEjac,"Saw as I turned around to leave
000-001 3U3",1,4,2,0
SE,02/04/2019,14:00:28,2K6,Submission,3U3,NA,,,,,NA,NA,NA,NA,000-001 3U3,NA,NA,NA,0
SE,02/04/2019,14:03:28,5U2,Mount,3U3,NA,,,,,Aff,Erection,UN,NoEjac,000-001 3U3,0,0,6,0
JC,03/04/2019,07:31:38,3L7,Aggression,1T4,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,07:32:40,7G9,Submission,5G2,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,07:33:34,8J3,Mount,1F2,NA,,,,,T,UN,UN,NoEjac,Food pickup arrived,3,10,7+,0
JC,03/04/2019,07:34:34,4S5,Mount,5G2,NA,,,,,T,Erection,UN,NoEjac,Ply follows,0,1,5,0
SE,03/04/2019,07:36:54,6EE6,Mount,SAMUN,NA,,,,,UN,UN,UN,NoEjac,Food pickup arrived,UN,15,UN,0
SE,03/04/2019,07:39:10,0J4,Submission,5K8,NA,,,,,NA,NA,NA,NA,0J4 prhd but 5K8 grabbing his balls - 0J4 fear grinning before leaving,NA,NA,NA,0
SE,03/04/2019,07:39:24,1F2,Mount,5K8,NA,,,,,CoAgg,UN,UN,NoEjac,At 0J4?,4,14,5,0
SE,03/04/2019,07:42:22,8R6,Mount,3I6,NA,,,,,CoAgg,Erection,NoIntro,NoEjac,,15+,20,7+,0
SE,03/04/2019,07:52:14,2D0,Aggression,7G1,NA,3I6,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,07:53:05,3I6,Mount,2D0,NA,,,,,CoAgg,UN,UN,NoEjac,"At 7G1
Ran off from food chasing him - couldn't see erections or not",0,1,7+,0
SE,03/04/2019,07:54:30,8O5,Submission,7G1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,07:54:48,2N8,Submission,7G1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,07:55:59,5R1,Aggression,5B2,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,07:58:12,61R,Aggression,3I6,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,08:06:01,36V,Submission,12O,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,08:06:56,36V,Submission,0M1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,08:07:54,6S1,Submission,5EE1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,08:08:18,5U1,Submission,0M1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,08:11:18,5EE1,Submission,6J3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,08:12:23,2Q9,Mount,FUN,NA,,,,,CoAgg,NoErection,NoIntro,NoEjac,,15+,20,0,0
JC,03/04/2019,08:15:06,7D2,Aggression,2M3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,08:15:18,9F9,Aggression,1S4,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,08:17:37,4I8,Aggression,2M3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,08:17:39,9F9,Aggression,3P3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,08:19:52,12O,Aggression,36V,NA,33T,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,08:21:04,3U7,Aggression,7P0,IgnoreRefusal,,,,,NA,NA,NA,NA,Both agg at each other no winner or looser,NA,NA,NA,0
JC,03/04/2019,08:24:40,88T,Aggression,4D3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,08:29:27,04T,Submission,81O,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,08:31:09,9O9,Submission,4N3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,08:31:29,4P8,Submission,4N3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,08:34:28,5L1,Submission,7J0,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,08:34:51,5P8,Aggression,7J0,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,08:39:36,88T,Aggression,6H9,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,08:40:44,88T,Submission,3I3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,08:43:15,4U6,Submission,8V5,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,08:47:41,9F9,Aggression,0I9,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,08:52:11,0I9,Aggression,8M1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,08:57:32,97V,Aggression,4D3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,08:59:00,4D3,No Value,7A2,NA,88T,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,08:59:22,6H9,Aggression,7A2,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,09:00:37,7Q8,Aggression,25L,NA,1M1,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,09:01:02,3L7,Aggression,7J0,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,09:02:13,97V,Aggression,7G9,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,09:13:04,7S9,Aggression,3L1,NA,6R3,,,,NA,NA,NA,NA,Even until 6R3 joined in,NA,NA,NA,0
SE,03/04/2019,09:13:42,6R3,Mount,7S9,NA,,,,,CoAgg,Erection,UN,NoEjac,At 3L1,0,1,7+,0
JC,03/04/2019,09:16:52,3M9,Aggression,96Z,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,09:19:09,5K5,Aggression,5EE1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,09:23:30,4U0,Submission,9M5,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,09:23:55,76Z,Aggression,5L1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,09:25:53,9M5,Submission,1B1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,09:28:11,5L1,Submission,2M3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,09:28:57,1F2,Submission,0M1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,09:40:32,2O1,Submission,2N8,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,09:42:16,2O1,Submission,4K7,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,09:44:26,5V8,Mount,2T8,Grm,,,,,R,UN,UN,NoEjac,000-,0,0,2,0
JC,03/04/2019,09:45:43,2T8,SelfStim,5V8,NA,,,,,Grm,NA,NA,NoEjac,,NA,NA,NA,0
JC,03/04/2019,09:47:42,5V8,Submission,5K5,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,09:48:04,2T8,Submission,5K5,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,09:48:47,5V8,Aggression,2T8,NA,5K5,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,09:49:06,5K5,Mount,5V8,Grm,,,,,R,NoErection,NoIntro,NoEjac,,0,0,0,0
SE,03/04/2019,09:49:54,8M1,Submission,3P3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,09:50:56,5K5,Mount,JVUN,NA,,,,,T,NoErection,NoIntro,NoEjac,Soliciting grm,0,1,0,0
JC,03/04/2019,09:53:57,,No Value,,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,09:56:57,5V8,Submission,7D2,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,09:58:34,5V8,Submission,5D1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,09:59:02,3U1,Submission,8A7,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,10:03:10,6K5,Submission,0C7,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,10:15:25,33T,Submission,77I,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,10:17:32,33T,Submission,77I,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,10:21:37,5K8,Aggression,9EE3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,10:22:53,JVMUN,Mount,FUN,NA,,,,,UN,NoErection,NoIntro,NoEjac,,5,15,UN,0
JC,03/04/2019,10:26:48,INFANT,Mount,INFANT,NA,,,,,Aff,UN,UN,UN,,NA,NA,3,0
SE,03/04/2019,10:39:00,6P9,Erection,,NA,,,,,T,Erection,NA,NoEjac,Travelling with FUN,1,1,NA,0
JC,03/04/2019,10:42:41,2J6,Submission,5K5,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,10:44:32,6P9,Submission,7K4,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,10:50:09,6P9,Mount,FUN,NA,,,,,UN,UN,UN,NoEjac,,0,0,5,0
SE,03/04/2019,10:54:13,3U6,Mount,1U7,NA,,,,,Aff,Erection,NoIntro,NoEjac,The last 3 mounts are from 3 SAM hanging out together ,2,9,2,0
SE,03/04/2019,10:54:27,8U5,Mount,1U7,NA,,,,,Aff,Erection,UN,NoEjac,The last 3 mounts are from 3 SAM hanging out together ,2,9,UN,0
SE,03/04/2019,10:54:34,8U5,Mount,3U6,Grm,,,,,Aff,UN,UN,NoEjac,,2,9,UN,0
SE,03/04/2019,10:57:28,8U5,Mount,3U6,Grm,,,,,Aff,Erection,UN,NoEjac,The last 3 mounts are from 3 SAM hanging out together ,1,7,0,0
SE,03/04/2019,10:58:12,8U5,Mount,1U7,Grm,,,,,Aff,Erection,UN,NoEjac,,1,7,4,0
JC,03/04/2019,10:58:40,9N9,Aggression,4S4,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,10:59:37,9O9,Submission,4S4,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,10:59:39,6W7,Mount,7V9,Grm,,,,,Aff,UN,UN,NoEjac,,0,5,5,0
SE,03/04/2019,12:27:50,8V2,Mount,6W3,NA,,,,,CoaggObs,UN,UN,NoEjac,,0,0,7+,0
SE,03/04/2019,12:29:40,8V2,Mount,6W3,NA,,,,,Aff,UN,UN,NoEjac,,0,0,7+,0
SE,03/04/2019,12:29:57,8V2,Mount,6W3,NA,,,,,Aff,Erection,UN,NoEjac,,0,0,7+,0
SE,03/04/2019,12:30:03,8V2,Mount,6W3,NA,,,,,Aff,UN,UN,NoEjac,,0,0,7+,0
SE,03/04/2019,12:30:10,8V2,Mount,6W3,NA,,,,,Aff,Erection,UN,NoEjac,,0,0,7+,0
SE,03/04/2019,12:30:14,8V2,Mount,6W3,NA,,,,,Aff,UN,UN,NoEjac,,0,1,7+,0
SE,03/04/2019,12:32:11,8V2,Mount,6W3,NA,,,,,Aff,UN,UN,NoEjac,,0,1,7+,0
SE,03/04/2019,12:32:28,8V2,Mount,6W3,NA,,,,,Aff,Erection,UN,NoEjac,,0,1,7+,0
SE,03/04/2019,12:32:30,8V2,Mount,6W3,NA,,,,,Aff,Erection,UN,NoEjac,,0,0,7+,0
SE,03/04/2019,12:32:32,8V2,Mount,6W3,NA,,,,,Aff,UN,UN,NoEjac,,0,0,7+,0
SE,03/04/2019,12:33:10,8V2,Mount,6W3,NA,,,,,CoaggObs,UN,UN,NoEjac,,0,0,5,0
SE,03/04/2019,12:33:18,8V2,Mount,6W3,NA,,,,,Aff,Erection,UN,NoEjac,,0,0,7+,0
SE,03/04/2019,12:33:58,8V2,Mount,6W3,Grm,,,,,Aff,UN,UN,NoEjac,,0,3,7+,0
SE,03/04/2019,12:36:26,8V2,Mount,6W3,NA,,,,,CoAgg,UN,UN,NoEjac,,0,4,7+,0
SE,03/04/2019,12:38:39,,No Value,,NA,,,,,NA,NA,NA,NA,9EE3 more fresh wounds,NA,NA,NA,0
SE,03/04/2019,12:42:23,JVMUN,Mount,3I6,Grm,,,,,Aff,UN,UN,NoEjac,"JVMUN is AH3
3i6 sort of made him mount",4,18,3,0
JC,03/04/2019,12:47:06,2N1,SelfStim,,NA,,,,,NA,NA,NA,NoEjac,,NA,NA,NA,0
JC,03/04/2019,12:49:49,4I8,Submission,7H9,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,12:54:04,36V,Submission,0G8,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,12:56:31,,No Value,,NA,,,,,NA,NA,NA,NA,Just missed 3M2 mount 8V2 during massive agg going on. Clare and Laura confirmed it,NA,NA,NA,0
SE,03/04/2019,12:58:18,,No Value,,NA,,,,,NA,NA,NA,NA,"2D0 and 8C3 mounted, seen by Clare and Laura during big agg going on. Who mounted who I don't know. ",NA,NA,NA,0
SE,03/04/2019,13:04:59,3M2,Mount,8V2,NA,,,,,T,UN,UN,NoEjac,Climbed up a tree and mounted on a branch,0,4,2,0
SE,03/04/2019,13:10:37,0P9,Submission,36V,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,03/04/2019,13:16:26,5P4,SelfStim,,NA,,,,,R,Erection,NA,NoEjac,,0,1,NA,0
JC,03/04/2019,13:24:13,2Q9,Submission,3I3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,13:29:09,5EE1,Submission,2Q9,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,03/04/2019,13:31:36,JVMUN,Mount,JVMUN,NA,,,,,Play,UN,UN,UN,,NA,NA,2,0
JC,03/04/2019,13:38:42,SAMUN,Mount,9O5,NA,,,,,Play,2Erection,UN,NoEjac,,15+,20,4,0
SE,03/04/2019,13:41:36,6EE6,Mount,FUN,Grm,,,,,UN,Erection,UN,NoEjac,,0,2,UN,0
SE,03/04/2019,13:42:43,6EE6,Mount,FUN,Grm,,,,,Grm,Erection,UN,NoEjac,,0,1,6,0
SE,03/04/2019,13:43:08,6EE6,Mount,FUN,Grm,,,,,CoaggObs,Erection,UN,NoEjac,,0,1,5,0
SE,03/04/2019,13:43:27,6EE6,Mount,FUN,NA,,,,,Grm,Erection,UN,NoEjac,,0,3,5,0
SE,03/04/2019,13:43:48,6EE6,Mount,FUN,NA,,,,,Aff,Erection,UN,NoEjac,,0,3,4,0
SE,03/04/2019,13:44:10,6EE6,Mount,FUN,NA,,,,,Aff,Erection,UN,NoEjac,,0,1,4,0
SE,03/04/2019,13:44:36,6EE6,Mount,FUN,NA,,,,,Aff,Erection,UN,NoEjac,,0,2,6,0
SE,03/04/2019,13:44:57,6EE6,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,0,3,7+,0
SE,03/04/2019,13:45:23,6EE6,Mount,FUN,NA,,,,,Aff,Erection,UN,NoEjac,,0,3,6,0
SE,03/04/2019,13:45:46,6EE6,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,0,3,6,0
SE,03/04/2019,13:46:05,6EE6,Mount,FUN,NA,,,,,CoaggObs,Erection,Intro,NoEjac,,0,2,6,0
SE,03/04/2019,13:46:31,6EE6,Mount,FUN,NA,,,,,Aff,Erection,Intro,Ejac,,0,4,7+,0
SE,03/04/2019,13:52:19,3M2,Aggression,8A7,NA,,,,,NA,NA,NA,NA,"8A7 resting and 3M2 sneaked up behind Jim and gently bit his thigh, jumped scared. Aggression/Submission or not?",NA,NA,NA,0
SE,03/04/2019,14:05:41,8V7,Mount,JVFUN,NA,,,,,Play,UN,UN,NoEjac,,1,3,7+,0
SE,03/04/2019,14:06:42,8V7,Mount,JVMUN,Grm,,,,,Play,UN,UN,NoEjac,,3,8,5,0
SE,04/04/2019,07:30:56,6K5,Mount,6P9,NA,,,,,T,UN,UN,NoEjac,,2,7,7+,0
SE,04/04/2019,07:49:01,3I6,Aggression,6K5,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,04/04/2019,07:49:44,3L1,Submission,6K5,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,04/04/2019,07:51:48,2R6,Submission,5P8,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,04/04/2019,07:53:30,2R6,Submission,4P8,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,04/04/2019,07:55:20,1T4,Mount,2Q9,NA,,,,,Play,UN,UN,NoEjac,,9,20,0,0
JC,04/04/2019,07:55:33,2Q9,Mount,1T4,NA,,,,,Play,UN,UN,NoEjac,,9,20,0,0
JC,04/04/2019,07:56:59,1M1,Aggression,4D3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,04/04/2019,08:05:09,0G8,Aggression,9M5,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,04/04/2019,08:06:17,2Q9,Aggression,7Q8,NA,FUN,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,04/04/2019,08:11:10,5K8,Aggression,3L1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,04/04/2019,08:11:39,4D3,Aggression,4O5,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,04/04/2019,08:12:04,3I6,Aggression,6K5,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,04/04/2019,08:13:23,4N3,Submission,97V,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,04/04/2019,08:15:51,8J3,Submission,9F9,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,04/04/2019,08:17:29,7H9,Submission,88T,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,04/04/2019,08:17:55,INFANT,Mount,INFANT,NA,,,,,F,2Erection,NoIntro,NoEjac,,15+,20,4,0
JC,04/04/2019,08:46:24,2J6,Submission,3K4,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,04/04/2019,08:58:47,4D3,Mount,9Y0,NA,,,,,F,Erection,UN,NoEjac,,15+,20,3,0
JC,04/04/2019,09:17:02,7Q8,Aggression,30Z,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,04/04/2019,09:36:17,8V6,Mount,6I9,NA,,,,,T,UN,UN,NoEjac,,1,3,0,0
SE,04/04/2019,09:37:15,8V6,Mount,6I9,Grm,,,,,T,UN,UN,NoEjac,,1,3,3,0
SE,04/04/2019,09:37:22,6I9,Mount,8V6,NA,,,,,Grm,UN,UN,NoEjac,,1,3,2,0
SE,04/04/2019,09:37:46,6I9,Mount,8V6,NA,,,,,CoaggObs,UN,UN,NoEjac,,1,3,0,0
JC,04/04/2019,09:40:36,5V8,Mount,JVMUN,NA,,,,,R,2Erection,UN,NoEjac,,0,5,3,0
SE,04/04/2019,09:40:44,6I9,Mount,8V6,Grm,,,,,CoaggObs,Erection,UN,NoEjac,,1,3,0,0
JC,04/04/2019,09:42:46,JVMUN,Mount,5V8,Grm,,,,,Play,2Erection,UN,NoEjac,,0,7,3,0
JC,04/04/2019,09:42:48,5V8,Mount,JVMUN,NA,,,,,Aff,2Erection,UN,NoEjac,,0,6,6,0
JC,04/04/2019,09:42:50,6S1,Mount,SAMUN,NA,,,,,CoaggObs,Erection,UN,NoEjac,,0,7,4,0
SE,04/04/2019,09:45:40,6I9,Mount,8V6,Grm,,,,,CoaggObs,NoErection,UN,NoEjac,,1,4,0,0
SE,04/04/2019,09:52:45,19T,Submission,61R,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,04/04/2019,09:53:14,3L7,SelfStim,,NA,,,,,R,NA,NA,NoEjac,,NA,NA,NA,0
SE,04/04/2019,10:16:03,4R8,Aggression,1R8,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,04/04/2019,10:16:36,4U0,Erection,8V5,NA,,,,,Grm,Erection,NA,NoEjac,,2,11,NA,0
JC,04/04/2019,10:21:17,1M1,Aggression,5P8,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,04/04/2019,10:32:14,4U0,SelfStim,1S4,NA,,,,,Grm,Erection,NA,NoEjac,,0,6,NA,0
SE,04/04/2019,10:33:24,4U0,Mount,1S4,NA,,,,,F,UN,UN,NoEjac,,0,6,0,0
SE,04/04/2019,10:36:04,1R8,Submission,7G1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,04/04/2019,10:48:04,4U2,Aggression,5EE1,NA,5Q4,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,04/04/2019,10:48:49,61R,Mount,FUN,Grm,,,,,CoAgg,UN,UN,NoEjac,,7,18,7+,0
SE,04/04/2019,10:50:28,0C7,Submission,1B1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,04/04/2019,10:52:31,61R,Mount,FUN,Grm,,,,,Grm,UN,UN,NoEjac,,6,17,6,0
SE,04/04/2019,10:52:48,61R,Mount,FUN,Grm,,,,,Grm,UN,UN,NoEjac,,6,17,5,0
SE,04/04/2019,10:53:44,61R,Mount,FUN,Grm,,,,,Grm,Erection,Intro,NoEjac,,4,13,7+,0
SE,04/04/2019,10:54:50,61R,Mount,FUN,Grm,,,,,Grm,Erection,Intro,Ejac,,5,10,7+,0
SE,04/04/2019,12:36:58,3U1,Mount,6I9,NA,,,,,T,UN,UN,NoEjac,,0,0,2,0
SE,04/04/2019,13:04:31,1F2,Aggression,3M2,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,04/04/2019,13:06:39,07D,Submission,1F2,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,04/04/2019,13:11:06,6P9,Mount,FUN,NA,,,,,CoaggObs,Erection,Intro,Ejac,,0,0,2,0
SE,04/04/2019,13:11:32,6P9,Mount,FUN,NA,,,,,Aff,Erection,UN,NoEjac,,0,0,2,0
SE,04/04/2019,13:11:38,6P9,Mount,FUN,NA,,,,,Aff,UN,NA,NoEjac,,0,0,4,0
SE,04/04/2019,13:11:42,6P9,Mount,FUN,NA,,,,,Aff,UN,UN,NoEjac,,0,0,5,0
SE,04/04/2019,13:12:53,6P9,Submission,5K8,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,04/04/2019,13:14:03,9F9,Aggression,5K8,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,04/04/2019,13:14:30,9F9,Aggression,36V,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,04/04/2019,13:32:38,6W7,Mount,7V9,NA,,,,,Aff,Erection,NoIntro,NoEjac,,0,3,0,0
SE,04/04/2019,13:33:43,4U9,Mount,8V3,NA,,,,,UN,UN,UN,NoEjac,,0,3,3,0
SE,04/04/2019,13:41:20,5U1,Erection,4U9,NA,,,,,Grm,Erection,NA,NoEjac,,0,4,NA,0
SE,04/04/2019,14:00:41,5U3,Submission,32Z,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,08/04/2019,07:28:58,4U5,Mount,2N9,NA,,,,,UN,Erection,NoIntro,NoEjac,Before crossing isthmus - different group. ,0,2,7+,0
SE,08/04/2019,07:34:31,3M8,Aggression,8A7,IgnoreRefusal,4R8,,,,NA,NA,NA,NA,Fighting back,NA,NA,NA,0
SE,08/04/2019,07:38:33,4R8,Erection,3M8,NA,,,,,CoaggObs,Erection,NA,NoEjac,,1,11,NA,0
SE,08/04/2019,07:43:04,3M8,Mount,4R8,NA,,,,,CoAgg,UN,UN,NoEjac,At 8A7 and 9R6 coming back off the isthmus rocks. ,1,12,0,0
SE,08/04/2019,07:43:10,4R8,Mount,3M8,Grm,,,,,Reciprocal,Erection,UN,NoEjac,,1,12,7+,0
SE,08/04/2019,07:46:20,9EE3,Submission,1EE5,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,08/04/2019,07:46:42,3M8,Aggression,8A7,IgnoreRefusal,4R8,9R6,,,NA,NA,NA,NA,9R6 pushiest out,NA,NA,NA,0
SE,08/04/2019,07:47:34,2K6,Submission,77I,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,08/04/2019,07:54:05,5S5,Mount,6J3,NA,,,,,UN,2Erection,UN,NoEjac,Response ply,1,2,4,0
JC,08/04/2019,07:56:51,5L1,Aggression,6P3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,08/04/2019,07:57:00,5R1,Mount,3R8,NA,,,,,R,2Erection,UN,NoEjac,Upset about 8d6 agg,0,0,5,0
JC,08/04/2019,07:58:00,3R8,Mount,5R1,NA,,,,,Aff,2Erection,NoIntro,NoEjac,,0,0,3,0
JC,08/04/2019,07:59:00,5R1,Mount,3R8,NA,,,,,NA,Erection,Intro,NoEjac,,0,0,7+,0
JC,08/04/2019,08:00:00,3R8,Mount,5R1,NA,,,,,Aff,2Erection,NoIntro,NoEjac,,0,0,3,0
JC,08/04/2019,08:01:42,8D6,Aggression,3R8,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,08/04/2019,08:07:01,6B8,Submission,6EE6,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,08/04/2019,08:24:12,0H8,Submission,04T,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,08/04/2019,08:30:47,7K4,Submission,12O,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
