Obs,Date,Time,AnimalID,Action,Recipient,Response ,Actor2,Actor3,Recip2,Recip3,Context ,Erection,Intromission,Ejaculation ,Notes,Prox_10M_AF,Prox_10M_All,Thrust_Number,IOR
SE,27/02/2019,08:46:44,1EE5,Aggression,8C3,NA,,,,,Agg,NA,NA,NA,Contact agg,No Value,No Value,No Value,0
SE,27/02/2019,08:47:25,6EE6,Mount,4EE2,NA,,,,,F,UN,UN,NA,,No Value,No Value,No Value,0
JC,27/02/2019,08:52:48,88T,Aggression,44T,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,27/02/2019,08:58:20,2M3,Submission,96Z,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
SE,27/02/2019,09:29:26,SAMUN,Mount,SAMUN,NA,,,,,R,UN,UN,NA,"On top of roof. 
8V8 is one of them, not sure if rec or act",No Value,No Value,No Value,0
JC,27/02/2019,09:40:55,97V,Mount,FUN,NA,,,,,R,Erection,Intro,NoEjac,,3,10,No Value,0
JC,27/02/2019,09:41:52,97V,Mount,FUN,NA,,,,,CoaggObs,Erection,Intro,NoEjac,,3,10,No Value,0
JC,27/02/2019,09:42:26,97V,Mount,FUN,NA,,,,,R,Erection,Intro,NoEjac,Disrupted by 76Z agg to FUN,3,10,No Value,0
JC,27/02/2019,10:18:30,AF9,Mount,5S8,NA,,,,,Aff,UN,UN,NA,3s8?,1,4,No Value,0
JC,27/02/2019,10:19:24,5S8,Mount,AF9,NA,,,,,Aff,Erection,UN,UN,Reciprocal,1,4,No Value,0
JC,27/02/2019,12:37:46,4L9,Submission,3I3,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
SE,27/02/2019,12:43:46,33T,SelfStim,,NA,,,,,R,Erection,NA,Ejac,,No Value,No Value,No Value,0
SE,27/02/2019,12:57:39,61R,Mount,FUN,NA,,,,,F,UN,UN,NA,Feeding on grasses ,No Value,No Value,No Value,0
SE,27/02/2019,13:14:52,1F2,Mount,FUN,NA,,,,,R,Erection,Intro,Ejac,"Retroactive ID 21 May 2019. Act alpha lookalike 
Rec 51Z",No Value,No Value,No Value,0
JC,27/02/2019,13:26:57,2M3,Spermplug,,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
